user_id,Product_Name,Review,Rating
U401,Almond Milk,"Very good product, would recommend.",4
U454,English Muffins,My family loved this product.,5
U47,Yogurt,Tastes amazing and very fresh.,5
U269,Cream Cheese,Waste of money.,1
U12,Cashews,Good quality for the price.,4
U362,Avocado,"No complaints, good purchase.",4
U440,Spinach,Absolutely fresh and high quality!,5
U498,Lettuce,Would buy again occasionally.,4
U378,Deli Meat,Worth every penny.,5
U476,Cucumber,Better than expected.,4
U46,Eggs,Consistently great product.,5
U95,Flour,Better than expected.,4
U195,Onions,"Very good product, would recommend.",4
U330,Soy Milk,"No complaints, good purchase.",4
U155,Peanut Butter,Worth every penny.,5
U329,Olive Oil,The taste was just okay.,3
U176,Tomato Sauce,Not worth the price.,2
U250,Tomato Sauce,A reliable grocery item.,4
U187,Bananas,Absolutely fresh and high quality!,5
U373,Apple Juice,Good quality for the price.,4
U420,Jerky,Acceptable for the price.,3
U282,Trash Bags,Consistently great product.,5
U226,Aluminum Foil,Perfect condition upon delivery.,5
U183,Fabric Softener,Satisfied with this product.,4
U226,Pretzels,Could be better.,3
U375,Carrots,Mediocre quality.,3
U37,Granola Bars,Extremely disappointed.,1
U243,Ice Cream,Tasted really bad.,1
U305,Bread,Would buy again occasionally.,4
U46,Spinach,Fresh and tasty overall.,4
U34,Frozen Berries,Probably won't buy again.,2
U68,Deli Meat,Tastes amazing and very fresh.,5
U330,Energy Drink,Best value for money.,5
U301,Jerky,Worth every penny.,5
U305,Club Soda,Does the job but nothing more.,3
U26,Butter,Not worth the price.,2
U258,Sparkling Water,My family loved this product.,5
U393,Tomatoes,Does the job but nothing more.,3
U176,Frozen Vegetables,Mediocre quality.,3
U431,Butter,Satisfied with this product.,4
U137,Onions,Satisfied with this product.,4
U264,Tortillas,Fresh and tasty overall.,4
U415,Butter,Fresh and tasty overall.,4
U56,Yogurt,The taste was just okay.,3
U54,Avocado,Exceeded my expectations.,5
U43,Orange Juice,Fresh and tasty overall.,4
U262,Olive Oil,Arrived on time and well packed.,4
U155,Tomatoes,My family loved this product.,5
U46,Trash Bags,"It was okay, nothing special.",3
U30,Pork Chops,Consistently great product.,5
U56,Peppers,Could be better.,3
U249,Pretzels,Good quality for the price.,4
U465,Cucumber,"No complaints, good purchase.",4
U351,Bananas,Fresh and tasty overall.,4
U24,Avocado,"Top-notch quality, highly recommended.",5
U230,Yogurt,A reliable grocery item.,4
U302,Club Soda,Somewhat disappointed.,2
U21,Energy Drink,Tastes amazing and very fresh.,5
U239,Protein Bars,Wasn't as fresh as expected.,2
U500,Pasta,Mediocre quality.,3
U290,Almond Butter,Acceptable for the price.,3
U246,Apples,Probably won't buy again.,2
U48,Limes,Exceeded my expectations.,5
U408,Eggs,Fresh and tasty overall.,4
U140,Raspberries,"Very good product, would recommend.",4
U38,Broccoli,Fairly average experience.,3
U124,Chicken Thighs,Absolutely fresh and high quality!,5
U134,Olive Oil,Never buying this again.,1
U487,Soda,"No complaints, good purchase.",4
U374,Tortillas,Absolutely fresh and high quality!,5
U158,Yogurt,Could be better.,3
U211,Espresso,Tasted really bad.,1
U404,Frozen Waffles,The taste was just okay.,3
U352,Pasta,Decent but not outstanding.,3
U311,Fruit Snacks,Completely unusable.,1
U81,Broccoli,Better than expected.,4
U322,Toilet Paper,Will definitely buy again.,5
U146,Broccoli,Could be better.,3
U396,Coffee,"Very good product, would recommend.",4
U172,Tea,Best value for money.,5
U242,Sweet Potatoes,Average quality overall.,3
U207,Chicken Thighs,Tastes amazing and very fresh.,5
U71,Beans,Not worth the price.,2
U10,Apples,"Very good product, would recommend.",4
U174,Bacon,Fresh and tasty overall.,4
U258,Laundry Detergent,Consistently great product.,5
U467,Pasta,Extremely disappointed.,1
U95,Sweet Potatoes,Worth every penny.,5
U121,Eggs,Decent quality and freshness.,4
U39,Carrots,Would buy again occasionally.,4
U207,Broccoli,Never buying this again.,1
U390,Frozen Waffles,Does the job but nothing more.,3
U276,Croissants,Satisfied with this product.,4
U474,Maple Syrup,Packaging could be improved.,2
U328,Frozen Waffles,Satisfied with this product.,4
U306,Raspberries,"Top-notch quality, highly recommended.",5
U250,Trash Bags,Arrived on time and well packed.,4
U134,Sour Cream,Better than expected.,4
U350,Fruit Snacks,"No complaints, good purchase.",4
U438,Energy Drink,Could be better.,3
U394,Energy Drink,Perfect condition upon delivery.,5
U182,Frozen Pizza,Somewhat disappointed.,2
U160,Deli Meat,Decent quality and freshness.,4
U145,Lemons,Exceeded my expectations.,5
U40,Zucchini,Quality was inconsistent.,2
U116,Butter,Not very impressed with the quality.,2
U489,Chickpeas,"It was okay, nothing special.",3
U38,Olive Oil,Mediocre quality.,3
U203,Cashews,Worth every penny.,5
U370,Frozen Waffles,Fresh and tasty overall.,4
U309,Apple Juice,Arrived on time and well packed.,4
U409,Pretzels,Below average quality.,2
U286,Blueberries,Satisfied with this product.,4
U413,Almond Butter,Packaging could be improved.,2
U359,Potatoes,Taste was slightly disappointing.,2
U402,Chicken Breast,Arrived on time and well packed.,4
U398,Sourdough,Perfect condition upon delivery.,5
U166,Rice,Decent but not outstanding.,3
U228,Frozen Waffles,Tastes amazing and very fresh.,5
U410,Fabric Softener,Never buying this again.,1
U63,Chicken Thighs,My family loved this product.,5
U298,Ground Beef,Could be better.,3
U222,Whole Chicken,Worth every penny.,5
U388,Chicken Thighs,Will definitely buy again.,5
U119,Aluminum Foil,Arrived on time and well packed.,4
U61,Salmon,Exceeded my expectations.,5
U367,Fruit Snacks,Better than expected.,4
U448,Chips,Decent quality and freshness.,4
U317,Spinach,Good quality for the price.,4
U303,Granola Bars,Good quality for the price.,4
U38,Fruit Snacks,Decent quality and freshness.,4
U121,Deli Meat,Tastes amazing and very fresh.,5
U445,Sourdough,Fresh and tasty overall.,4
U407,Frozen Berries,Does the job but nothing more.,3
U467,Sparkling Water,"It was okay, nothing special.",3
U473,Dish Soap,Arrived on time and well packed.,4
U489,Tomato Sauce,Tastes amazing and very fresh.,5
U471,Dish Soap,Fresh and tasty overall.,4
U344,Olive Oil,"It was okay, nothing special.",3
U94,Apples,Decent quality and freshness.,4
U250,Almonds,Not very impressed with the quality.,2
U141,Turkey Bacon,Exceeded my expectations.,5
U467,Chicken Nuggets,"Top-notch quality, highly recommended.",5
U424,Spinach,Worth every penny.,5
U424,Club Soda,Fresh and tasty overall.,4
U181,Maple Syrup,Satisfied with this product.,4
U260,Espresso,Worth every penny.,5
U462,Bacon,Good quality for the price.,4
U259,Chickpeas,Worth every penny.,5
U151,Potatoes,The taste was just okay.,3
U195,Frozen Pizza,Decent quality and freshness.,4
U80,Almond Milk,Does the job but nothing more.,3
U334,Strawberries,Consistently great product.,5
U80,Frozen Vegetables,Never buying this again.,1
U480,Orange Juice,Satisfied with this product.,4
U131,Broccoli,Better than expected.,4
U82,Fabric Softener,Would buy again occasionally.,4
U486,Sour Cream,Best value for money.,5
U499,Chicken Breast,Not very impressed with the quality.,2
U106,Limes,Worth every penny.,5
U317,Apple Juice,Better than expected.,4
U483,Garlic,Perfect condition upon delivery.,5
U87,Ice Cream,Quality was inconsistent.,2
U204,Sour Cream,A reliable grocery item.,4
U353,Vegetable Oil,Not very impressed with the quality.,2
U197,Rice,The taste was just okay.,3
U343,English Muffins,Worth every penny.,5
U498,Chicken Nuggets,"Very good product, would recommend.",4
U219,Salmon,Tastes amazing and very fresh.,5
U29,Limes,Good quality for the price.,4
U327,Frozen Vegetables,"Top-notch quality, highly recommended.",5
U105,Almond Butter,Waste of money.,1
U410,Tortillas,Satisfied with this product.,4
U494,Cauliflower,Better than expected.,4
U342,Cream Cheese,Expected better freshness.,2
U25,Turkey Bacon,Fairly average experience.,3
U95,Cashews,Arrived on time and well packed.,4
U385,Espresso,Would buy again occasionally.,4
U410,Frozen Pizza,Mediocre quality.,3
U143,Cashews,Wasn't as fresh as expected.,2
U198,Flour,Good quality for the price.,4
U221,Laundry Detergent,Arrived on time and well packed.,4
U386,Sweet Potatoes,Probably won't buy again.,2
U157,Sweet Potatoes,Completely unusable.,1
U246,Spinach,"Not bad, not great either.",3
U301,Canola Oil,Arrived on time and well packed.,4
U397,Energy Drink,Absolutely fresh and high quality!,5
U183,Vegetable Oil,Decent quality and freshness.,4
U455,Sour Cream,Best value for money.,5
U447,Beans,Could be better.,3
U293,Cashews,Will definitely buy again.,5
U80,Paper Towels,Good quality for the price.,4
U67,Cucumber,A reliable grocery item.,4
U493,Frozen Berries,Does the job but nothing more.,3
U126,Dish Soap,Fresh and tasty overall.,4
U478,Fruit Snacks,Worth every penny.,5
U310,Apple Juice,Worth every penny.,5
U219,Strawberries,Will definitely buy again.,5
U302,Apples,"Not bad, not great either.",3
U457,Cottage Cheese,Good quality for the price.,4
U378,Ground Beef,"No complaints, good purchase.",4
U275,Sourdough,"Top-notch quality, highly recommended.",5
U282,Peanut Butter,Arrived on time and well packed.,4
U395,Ice Cream,Best value for money.,5
U218,Tomato Sauce,Received damaged product.,1
U59,Beans,Tastes amazing and very fresh.,5
U186,Turkey Bacon,Fairly average experience.,3
U394,Raspberries,Good quality for the price.,4
U65,Chickpeas,The taste was just okay.,3
U162,Honey,Could be better.,3
U319,Spinach,Worth every penny.,5
U473,Eggs,The taste was just okay.,3
U403,Deli Meat,Exceeded my expectations.,5
U195,Lettuce,Quality was inconsistent.,2
U136,Tilapia,Perfect condition upon delivery.,5
U20,Chicken Thighs,Exceeded my expectations.,5
U402,Paper Towels,Worth every penny.,5
U379,Cashews,"Very good product, would recommend.",4
U62,Sweet Potatoes,Could be better.,3
U494,Jerky,My family loved this product.,5
U401,Trash Bags,Perfect condition upon delivery.,5
U158,Yogurt,A reliable grocery item.,4
U389,Chips,Perfect condition upon delivery.,5
U421,Sparkling Water,Arrived on time and well packed.,4
U423,Apple Juice,Decent quality and freshness.,4
U208,Carrots,My family loved this product.,5
U497,Fruit Snacks,"Top-notch quality, highly recommended.",5
U490,Cashews,Acceptable for the price.,3
U476,Orange Juice,My family loved this product.,5
U31,Frozen Berries,Perfect condition upon delivery.,5
U489,Frozen Berries,Perfect condition upon delivery.,5
U52,Olive Oil,"Top-notch quality, highly recommended.",5
U389,Ground Beef,"Not bad, not great either.",3
U294,Chicken Breast,Tasted really bad.,1
U357,Club Soda,"It was okay, nothing special.",3
U144,Potatoes,Mediocre quality.,3
U305,Ground Beef,"Top-notch quality, highly recommended.",5
U249,Canola Oil,Decent but not outstanding.,3
U86,Cheese,Fairly average experience.,3
U154,Chicken Nuggets,"Top-notch quality, highly recommended.",5
U13,Aluminum Foil,Decent but not outstanding.,3
U331,Beans,Tastes amazing and very fresh.,5
U374,Peppers,Mediocre quality.,3
U422,Energy Drink,A reliable grocery item.,4
U208,English Muffins,Best value for money.,5
U236,Cheese,Arrived on time and well packed.,4
U474,Tilapia,Best value for money.,5
U398,Chips,"Very good product, would recommend.",4
U9,Frozen Vegetables,Good quality for the price.,4
U353,Yogurt,Would buy again occasionally.,4
U409,Espresso,Could be better.,3
U56,Spinach,Mediocre quality.,3
U198,Tilapia,Somewhat disappointed.,2
U417,Ice Cream,Fairly average experience.,3
U468,Pork Chops,"Very good product, would recommend.",4
U390,Frozen Pizza,"No complaints, good purchase.",4
U443,Tomatoes,Fresh and tasty overall.,4
U435,Limes,Wasn't as fresh as expected.,2
U378,Shrimp,Tastes amazing and very fresh.,5
U262,Peppers,Mediocre quality.,3
U120,Carrots,Not very impressed with the quality.,2
U471,Broccoli,Best value for money.,5
U157,Croissants,Exceeded my expectations.,5
U181,Soy Milk,"Very good product, would recommend.",4
U11,Energy Drink,Never buying this again.,1
U109,Soy Milk,Fresh and tasty overall.,4
U52,Jerky,Could be better.,3
U317,Canola Oil,Perfect condition upon delivery.,5
U213,Bread,"Very good product, would recommend.",4
U78,Avocado,Fresh and tasty overall.,4
U476,Dish Soap,Best value for money.,5
U16,Sourdough,Absolutely fresh and high quality!,5
U277,Bananas,Better than expected.,4
U58,Maple Syrup,Somewhat disappointed.,2
U296,Garlic,Consistently great product.,5
U109,Paper Towels,Worst grocery purchase.,1
U2,Lettuce,Not worth the price.,2
U234,Pasta,Satisfied with this product.,4
U31,Avocado,Perfect condition upon delivery.,5
U95,Frozen Vegetables,"Very good product, would recommend.",4
U282,Garlic,Average quality overall.,3
U332,Pasta,Good quality for the price.,4
U450,Peppers,"Top-notch quality, highly recommended.",5
U220,Orange Juice,"Very good product, would recommend.",4
U242,Limes,Tastes amazing and very fresh.,5
U208,Bread,"Not bad, not great either.",3
U408,Lettuce,Decent quality and freshness.,4
U173,Granola Bars,Consistently great product.,5
U119,Apple Juice,Good quality for the price.,4
U364,Pasta,Consistently great product.,5
U21,Salmon,Arrived on time and well packed.,4
U272,Granola Bars,"Top-notch quality, highly recommended.",5
U118,Olive Oil,Decent but not outstanding.,3
U217,Croissants,"Not bad, not great either.",3
U94,Deli Meat,Perfect condition upon delivery.,5
U321,Chicken Breast,Good quality for the price.,4
U286,Maple Syrup,"No complaints, good purchase.",4
U12,Croissants,Acceptable for the price.,3
U283,Soda,Probably won't buy again.,2
U481,Vegetable Oil,Consistently great product.,5
U12,Maple Syrup,Consistently great product.,5
U242,Bagels,"Very good product, would recommend.",4
U55,Onions,Consistently great product.,5
U135,Chickpeas,Fairly average experience.,3
U417,Frozen Burritos,"Very good product, would recommend.",4
U296,Turkey Bacon,Not very impressed with the quality.,2
U89,Popcorn,Satisfied with this product.,4
U393,Chicken Breast,Better than expected.,4
U235,Ice Cream,Satisfied with this product.,4
U122,Cheese,Better than expected.,4
U37,Sugar,"Top-notch quality, highly recommended.",5
U277,Cream Cheese,Decent quality and freshness.,4
U83,Zucchini,A reliable grocery item.,4
U354,Strawberries,Consistently great product.,5
U359,Cashews,Decent but not outstanding.,3
U70,Potatoes,Could be better.,3
U392,Cashews,Mediocre quality.,3
U220,Cashews,Would buy again occasionally.,4
U93,English Muffins,Perfect condition upon delivery.,5
U8,Frozen Vegetables,Exceeded my expectations.,5
U414,Frozen Burritos,Exceeded my expectations.,5
U20,Pretzels,Fairly average experience.,3
U222,Chips,Worth every penny.,5
U254,Jerky,Consistently great product.,5
U370,Frozen Waffles,Satisfied with this product.,4
U364,Bananas,Perfect condition upon delivery.,5
U24,Maple Syrup,My family loved this product.,5
U67,Chocolate,Exceeded my expectations.,5
U205,Cashews,"Top-notch quality, highly recommended.",5
U32,Tea,Would buy again occasionally.,4
U27,Cheese,"It was okay, nothing special.",3
U467,Zucchini,Item was expired or near expiration.,1
U470,Paper Towels,Decent but not outstanding.,3
U43,Chicken Thighs,Tasted really bad.,1
U298,Lemons,"Very good product, would recommend.",4
U54,Lettuce,Tastes amazing and very fresh.,5
U323,Bagels,Best value for money.,5
U240,Tortillas,Wasn't as fresh as expected.,2
U273,Chicken Thighs,Will definitely buy again.,5
U40,Dish Soap,Would buy again occasionally.,4
U264,Buns,Acceptable for the price.,3
U190,Frozen Pizza,Would buy again occasionally.,4
U484,Sour Cream,Better than expected.,4
U6,Energy Drink,Good quality for the price.,4
U262,Apple Juice,Absolutely fresh and high quality!,5
U210,Bagels,Received damaged product.,1
U442,Salmon,Not worth the price.,2
U130,Sparkling Water,Not very impressed with the quality.,2
U346,Potatoes,A reliable grocery item.,4
U213,Aluminum Foil,"It was okay, nothing special.",3
U151,Almond Milk,Does the job but nothing more.,3
U256,Popcorn,Extremely disappointed.,1
U315,Eggs,Could be better.,3
U192,Paper Towels,Arrived on time and well packed.,4
U240,Peanut Butter,Not worth the price.,2
U252,Broccoli,Completely unusable.,1
U304,Espresso,Will definitely buy again.,5
U18,Ground Beef,Best value for money.,5
U10,Blueberries,Arrived on time and well packed.,4
U191,Pasta,Would buy again occasionally.,4
U77,Croissants,Does the job but nothing more.,3
U344,Bread,Acceptable for the price.,3
U282,Cottage Cheese,Worth every penny.,5
U294,Tortillas,A reliable grocery item.,4
U202,Frozen Waffles,Waste of money.,1
U88,Paper Towels,Consistently great product.,5
U225,Sweet Potatoes,A reliable grocery item.,4
U279,Milk,Worth every penny.,5
U496,Honey,Worth every penny.,5
U31,Garlic,Item was expired or near expiration.,1
U271,Olive Oil,Does the job but nothing more.,3
U460,Lettuce,Expected better freshness.,2
U136,Butter,"It was okay, nothing special.",3
U339,Canola Oil,Will definitely buy again.,5
U112,Jam,Somewhat disappointed.,2
U125,Lettuce,Wasn't as fresh as expected.,2
U195,Cream Cheese,Average quality overall.,3
U309,Cauliflower,The taste was just okay.,3
U34,Sugar,Not worth the price.,2
U406,Chickpeas,Decent quality and freshness.,4
U399,Pretzels,My family loved this product.,5
U246,Sugar,"Very good product, would recommend.",4
U424,Croissants,Packaging could be improved.,2
U467,Shrimp,Will definitely buy again.,5
U178,Sugar,Would buy again occasionally.,4
U492,Chickpeas,Acceptable for the price.,3
U463,Chicken Thighs,"It was okay, nothing special.",3
U267,Frozen Burritos,Below average quality.,2
U493,Garlic,Best value for money.,5
U244,Coffee,My family loved this product.,5
U109,Sour Cream,"No complaints, good purchase.",4
U391,Blueberries,Acceptable for the price.,3
U450,Frozen Waffles,Worth every penny.,5
U47,Rice,"Top-notch quality, highly recommended.",5
U345,Sour Cream,"Very good product, would recommend.",4
U492,Sugar,Worth every penny.,5
U423,Tilapia,Not worth the price.,2
U249,Trash Bags,My family loved this product.,5
U265,Almonds,Better than expected.,4
U342,Bananas,Decent quality and freshness.,4
U167,Honey,Packaging could be improved.,2
U192,Blueberries,Would buy again occasionally.,4
U143,Tilapia,Acceptable for the price.,3
U157,Cream Cheese,Worth every penny.,5
U335,Orange Juice,Completely unusable.,1
U210,Pretzels,Best value for money.,5
U383,Frozen Pizza,"No complaints, good purchase.",4
U132,Olive Oil,Could be better.,3
U479,Chips,A reliable grocery item.,4
U55,Almonds,Would buy again occasionally.,4
U51,Tomatoes,Fresh and tasty overall.,4
U183,Oat Milk,Best value for money.,5
U105,Onions,The taste was just okay.,3
U24,Trash Bags,The taste was just okay.,3
U143,Almonds,Acceptable for the price.,3
U129,Tomatoes,Fairly average experience.,3
U191,Bacon,Never buying this again.,1
U321,Milk,Good quality for the price.,4
U33,Potatoes,Completely unusable.,1
U359,Canola Oil,Best value for money.,5
U346,Frozen Berries,Could be better.,3
U201,Potatoes,Average quality overall.,3
U140,Spinach,Tastes amazing and very fresh.,5
U95,Chicken Thighs,Tastes amazing and very fresh.,5
U111,Chicken Thighs,Does the job but nothing more.,3
U70,Trash Bags,Average quality overall.,3
U249,Turkey Bacon,"Very good product, would recommend.",4
U447,Tomato Sauce,Tasted really bad.,1
U26,Soy Milk,Worst grocery purchase.,1
U463,Rice,Good quality for the price.,4
U19,Fabric Softener,A reliable grocery item.,4
U357,Jam,Decent but not outstanding.,3
U292,Chickpeas,"Very good product, would recommend.",4
U107,Chicken Breast,Perfect condition upon delivery.,5
U35,Pork Chops,"Not bad, not great either.",3
U308,Aluminum Foil,Best value for money.,5
U441,Cashews,Somewhat disappointed.,2
U372,Bread,"Very good product, would recommend.",4
U146,Sweet Potatoes,Fresh and tasty overall.,4
U68,Peanut Butter,Will definitely buy again.,5
U131,Maple Syrup,"Top-notch quality, highly recommended.",5
U168,Tortillas,Probably won't buy again.,2
U321,Bacon,A reliable grocery item.,4
U489,Chicken Thighs,Never buying this again.,1
U314,Flour,Average quality overall.,3
U368,Spinach,Somewhat disappointed.,2
U120,Toilet Paper,Good quality for the price.,4
U343,Tortillas,A reliable grocery item.,4
U52,Trash Bags,Would buy again occasionally.,4
U258,Sweet Potatoes,Satisfied with this product.,4
U454,Sweet Potatoes,A reliable grocery item.,4
U499,Frozen Pizza,A reliable grocery item.,4
U276,Soy Milk,Worth every penny.,5
U194,Turkey Bacon,"Very good product, would recommend.",4
U76,Orange Juice,A reliable grocery item.,4
U47,Buns,Somewhat disappointed.,2
U302,Chips,Consistently great product.,5
U433,Ice Cream,Taste was slightly disappointing.,2
U295,Flour,Decent but not outstanding.,3
U229,Lemons,Decent quality and freshness.,4
U455,Peppers,Fresh and tasty overall.,4
U285,Aluminum Foil,Tasted really bad.,1
U450,Bananas,Worth every penny.,5
U430,Turkey Bacon,Tastes amazing and very fresh.,5
U483,Peppers,Taste was slightly disappointing.,2
U223,Chips,My family loved this product.,5
U442,Bread,Will definitely buy again.,5
U335,Aluminum Foil,Probably won't buy again.,2
U140,Dish Soap,Somewhat disappointed.,2
U360,Pretzels,Absolutely fresh and high quality!,5
U373,Frozen Waffles,Decent but not outstanding.,3
U62,Butter,Fairly average experience.,3
U200,Limes,Satisfied with this product.,4
U88,Potatoes,Absolutely fresh and high quality!,5
U379,Vegetable Oil,Perfect condition upon delivery.,5
U29,Carrots,Tasted really bad.,1
U64,Avocado,"It was okay, nothing special.",3
U410,Beans,Absolutely fresh and high quality!,5
U77,Beans,Exceeded my expectations.,5
U221,Aluminum Foil,Exceeded my expectations.,5
U392,Ground Beef,Perfect condition upon delivery.,5
U354,Popcorn,Consistently great product.,5
U249,Cashews,Fresh and tasty overall.,4
U11,Ground Beef,My family loved this product.,5
U131,Buns,Better than expected.,4
U405,Tortillas,Worth every penny.,5
U226,Cheese,"Not bad, not great either.",3
U456,Ice Cream,Better than expected.,4
U86,Lemons,"Horrible quality, do not buy.",1
U192,Broccoli,Consistently great product.,5
U47,Zucchini,Fairly average experience.,3
U274,Tea,Worth every penny.,5
U401,Almond Butter,Tasted really bad.,1
U341,Cashews,Absolutely fresh and high quality!,5
U178,Bananas,Will definitely buy again.,5
U469,Coffee,Fresh and tasty overall.,4
U163,Trash Bags,Absolutely fresh and high quality!,5
U20,Cottage Cheese,My family loved this product.,5
U156,Sour Cream,Arrived on time and well packed.,4
U425,Eggs,The taste was just okay.,3
U107,Maple Syrup,"Very good product, would recommend.",4
U136,Protein Bars,Absolutely fresh and high quality!,5
U224,Frozen Waffles,Good quality for the price.,4
U59,Cream Cheese,A reliable grocery item.,4
U176,Tea,Satisfied with this product.,4
U1,Soy Milk,Fresh and tasty overall.,4
U86,Potatoes,Fresh and tasty overall.,4
U220,Apples,Fresh and tasty overall.,4
U205,Flour,Satisfied with this product.,4
U50,Frozen Pizza,The taste was just okay.,3
U125,Chicken Nuggets,Best value for money.,5
U323,Jam,Average quality overall.,3
U67,Aluminum Foil,Could be better.,3
U396,Onions,Probably won't buy again.,2
U331,Spinach,Waste of money.,1
U55,Sourdough,A reliable grocery item.,4
U253,Jam,Arrived on time and well packed.,4
U189,Club Soda,Could be better.,3
U436,Milk,"Horrible quality, do not buy.",1
U250,Soda,Would buy again occasionally.,4
U88,Zucchini,"Top-notch quality, highly recommended.",5
U195,Pasta,Perfect condition upon delivery.,5
U411,Raspberries,Worth every penny.,5
U59,Shrimp,Fresh and tasty overall.,4
U476,Soda,Decent quality and freshness.,4
U156,Tilapia,Satisfied with this product.,4
U21,Peppers,Will definitely buy again.,5
U207,Deli Meat,Would buy again occasionally.,4
U65,Aluminum Foil,Worth every penny.,5
U127,Lemons,"No complaints, good purchase.",4
U298,Orange Juice,Best value for money.,5
U234,Soda,My family loved this product.,5
U226,Almonds,Good quality for the price.,4
U459,Onions,Decent but not outstanding.,3
U222,Soda,Decent but not outstanding.,3
U181,Chicken Breast,Does the job but nothing more.,3
U383,Jam,Taste was slightly disappointing.,2
U373,Trash Bags,Packaging could be improved.,2
U94,Sweet Potatoes,Would buy again occasionally.,4
U144,Pork Chops,Decent quality and freshness.,4
U5,Frozen Berries,Consistently great product.,5
U254,Limes,Will definitely buy again.,5
U382,Paper Towels,Decent but not outstanding.,3
U200,Lemons,"No complaints, good purchase.",4
U319,Dish Soap,Absolutely fresh and high quality!,5
U245,Bagels,Absolutely fresh and high quality!,5
U307,Almonds,The taste was just okay.,3
U391,Sparkling Water,A reliable grocery item.,4
U120,Ground Beef,Fairly average experience.,3
U265,Vegetable Oil,Arrived on time and well packed.,4
U147,Soy Milk,Does the job but nothing more.,3
U497,Chicken Breast,Better than expected.,4
U472,Turkey Bacon,Item was expired or near expiration.,1
U369,Olive Oil,Absolutely fresh and high quality!,5
U335,Popcorn,Satisfied with this product.,4
U223,Jam,Best value for money.,5
U407,Almonds,Satisfied with this product.,4
U228,Turkey Bacon,Consistently great product.,5
U90,Toilet Paper,Wasn't as fresh as expected.,2
U73,Almond Butter,Fresh and tasty overall.,4
U64,Bread,Does the job but nothing more.,3
U303,Limes,Mediocre quality.,3
U232,Paper Towels,Consistently great product.,5
U339,Salmon,Consistently great product.,5
U411,Broccoli,"Very good product, would recommend.",4
U335,Toilet Paper,Fresh and tasty overall.,4
U149,Onions,Exceeded my expectations.,5
U126,Tea,Perfect condition upon delivery.,5
U132,Butter,Decent quality and freshness.,4
U437,Milk,Satisfied with this product.,4
U192,Croissants,Best value for money.,5
U425,Jerky,Will definitely buy again.,5
U85,Sour Cream,Somewhat disappointed.,2
U370,Chicken Nuggets,"Very good product, would recommend.",4
U60,Soy Milk,Satisfied with this product.,4
U375,Maple Syrup,Probably won't buy again.,2
U362,Tortillas,"Top-notch quality, highly recommended.",5
U491,Turkey Bacon,"No complaints, good purchase.",4
U467,Limes,"It was okay, nothing special.",3
U187,Honey,My family loved this product.,5
